"nm0000168","tt1510938","Black"
"nm0000168","tt1843866","Nick Fury"
"nm0000168","tt2802144","Valentine"
"nm0000168","tt3460252","Major Marquis Warren"
"nm0000168","tt6320628","Nick Fury"
"nm0000169","tt0477348","Ed Tom Bell"
"nm0000169","tt0478134","Hank Deerfield"
"nm0000169","tt1510938","White"
"nm0000172","tt0289765","Jack Crawford"
"nm0000172","tt1302006","Angelo Bruno"
"nm0000172","tt3312830","Mick Boyle"
"nm0000173","tt0159365","Ada Monroe"
"nm0000173","tt0203009","Satine"
"nm0000173","tt0230600","Grace"
"nm0000173","tt0274558","Virginia Woolf"
"nm0000173","tt0276919","Grace Margaret Mulligan"
"nm0000173","tt3741834","Sue Brierley"
"nm0000174","tt0373469","Gay Perry"
"nm0000174","tt0453467","Agent Pryzwarra"
"nm0000178","tt0770828","Martha Kent"
"nm0000178","tt3203606","Cleo Trumbo"
"nm0000179","tt0159365","Inman"
"nm0000179","tt0212720","Gigolo Joe"
"nm0000179","tt0215750","Vassili"
"nm0000179","tt0376541","Dan"
"nm0000179","tt0988045","Dr. John Watson"
"nm0000179","tt1515091","Dr. John Watson"
"nm0000179","tt2053463","Dr. Jonathan Banks"
"nm0000179","tt3079380","Bradley Fine"
"nm0000188","tt6987652","Self"
"nm0000190","tt0264616","Adam Meiks"
"nm0000190","tt0758794","Jack Lengyel"
"nm0000190","tt0790636","Ron Woodroof"
"nm0000190","tt0816692","Cooper"
"nm0000190","tt0993846","Mark Hanna"
"nm0000190","tt1189340","Mick Haller"
"nm0000190","tt1935179","Mud"
"nm0000190","tt3470600","Buster Moon"
"nm0000190","tt4302938","Beetle"
"nm0000190","tt8367814","Michael Pearson"
"nm0000191","tt0121766","Obi-Wan Kenobi"
"nm0000191","tt0203009","Christian"
"nm0000191","tt0265086","Grimes"
"nm0000191","tt0319061","Ed Bloom - Young"
"nm0000191","tt1139328","The Ghost"
"nm0000191","tt1439572","Michael"
"nm0000191","tt1532503","Oliver"
"nm0000191","tt1649419","Henry"
"nm0000191","tt2763304","Renton"
"nm0000191","tt4575576","Christopher Robin"
"nm0000191","tt5606664","Dan Torrance"
"nm0000193","tt0780571","Det. Tracy Atwood"
"nm0000194","tt0206634","Julian"
"nm0000194","tt0274558","Laura Brown"
"nm0000194","tt0842926","Jules"
"nm0000194","tt1315981","Charley"
"nm0000194","tt1570728","Emily"
"nm0000194","tt1848902","Sarah Palin"
"nm0000194","tt3316960","Alice Howland"
"nm0000195","tt0335266","Bob Harris"
"nm0000195","tt0362270","Steve Zissou"
"nm0000195","tt0379217","Bill Murray (segment ""Delirium"")"
"nm0000195","tt0412019","Don Johnston"
"nm0000195","tt0432283","Badger"
"nm0000195","tt1748122","Mr. Bishop"
"nm0000195","tt2170593","Vincent"
"nm0000195","tt3040964","Baloo"
"nm0000196","tt0126029","Shrek"
"nm0000196","tt0298148","Shrek"
"nm0000197","tt0257360","Warren Schmidt"
"nm0000197","tt0407887","Frank Costello"
"nm0000197","tt0825232","Edward"
"nm0000198","tt1340800","George Smiley"
"nm0000198","tt1345836","Commissioner Gordon"
"nm0000198","tt2103281","Dreyfus"
"nm0000198","tt4555426","Winston Churchill"
"nm0000199","tt0278504","Will Dormer"
"nm0000199","tt1132623","Jack Kevorkian"
"nm0000199","tt1302006","Jimmy Hoffa"
"nm0000200","tt0264616","Dad Meiks"
"nm0000200","tt1631867","Master Sergeant Farell"
"nm0000200","tt2872718","Joe Loder"
"nm0000201","tt0277027","Rita"
"nm0000202","tt0280707","Henry Denton"
"nm0000202","tt0401997","Eric O'Neill"
"nm0000202","tt0418689","John ""Doc"" Bradley"
"nm0000202","tt1189340","Louis Roulet"
"nm0000204","tt0121766","Padmé"
"nm0000204","tt0333766","Sam"
"nm0000204","tt0376541","Alice"
"nm0000204","tt0434409","Evey"
"nm0000204","tt0765010","Grace Cahill"
"nm0000204","tt0800369","Jane Foster"
"nm0000204","tt0947798","Nina Sayers"
"nm0000204","tt0947798","The Swan Queen"
"nm0000204","tt1403177","Nicole"
"nm0000206","tt0234215","Neo"
"nm0000206","tt0360486","John Constantine"
"nm0000206","tt0405296","Bob Arctor"
"nm0000206","tt2911666","John Wick"
"nm0000206","tt4425200","John Wick"
"nm0000206","tt6146586","John Wick"
"nm0000207","tt0257850","Romaine Patterson"
"nm0000207","tt0340855","Selby"
"nm0000209","tt0327056","Dave Boyle"
"nm0000210","tt0195685","Erin Brockovich"
"nm0000210","tt0240772","Tess Ocean"
"nm0000210","tt0270288","Patricia Watson"
"nm0000210","tt0376541","Anna"
"nm0000210","tt0472062","Joanne Herring"
"nm0000210","tt1322269","Barbara Weston"
"nm0000210","tt2543472","Isabel"
"nm0000213","tt0405296","Donna Hawthorne"
"nm0000213","tt0947798","Beth Macintyre"
"nm0000213","tt0947798","The Dying Swan"
"nm0000215","tt0461770","Queen Narissa"
"nm0000215","tt1990314","Jennifer"
"nm0000216","tt6543420","Self"
"nm0000217","tt7133092","Self - Director"
"nm0000218","tt0280707","Sylvia McCordle"
"nm0000218","tt4555426","Clemmie"
"nm0000223","tt0370986","Mrs. McCormick"
"nm0000223","tt6048922","Evelyn"
"nm0000226","tt0343818","Del Spooner"
"nm0000226","tt0454921","Chris Gardner"
"nm0000226","tt0480249","Robert Neville"
"nm0000226","tt0814314","Ben"
"nm0000226","tt3322364","Dr. Bennet Omalu"
"nm0000226","tt6139732","Genie"
"nm0000226","tt6139732","Mariner"
"nm0000228","tt0223897","Eugene Simonet"
"nm0000228","tt0272152","Prot"
"nm0000228","tt0289992","David Gale"
"nm0000228","tt0499516","Narrator"
"nm0000228","tt1000771","Ron Klain"
"nm0000228","tt1182345","GERTY"
"nm0000228","tt1615147","Sam Rogers"
"nm0000229","tt7133092","Self"
"nm0000230","tt0462499","John Rambo"
"nm0000230","tt0479143","Rocky Balboa"
"nm0000230","tt3076658","Rocky Balboa"
"nm0000230","tt6343314","Rocky Balboa"
"nm0000232","tt0412019","Laura"
"nm0000234","tt0203019","Gwen Sunday"
"nm0000234","tt0317740","Stella Bridger"
"nm0000234","tt0340855","Aileen"
"nm0000234","tt0478134","Det. Emily Sanders"
"nm0000234","tt0898367","Woman"
"nm0000234","tt1392190","Imperator Furiosa"
"nm0000234","tt1446714","Meredith Vickers"
"nm0000234","tt4302938","Mother"
"nm0000234","tt5610554","Marlo"
"nm0000235","tt0266697","The Bride"
"nm0000235","tt0378194","Beatrix Kiddo"
"nm0000239","tt0490204","Angela Oakhurst"
"nm0000239","tt1990314","Madison Weld"
"nm0000240","tt0406046","Ray Singleton"
"nm0000242","tt0317740","Charlie Croker"
"nm0000242","tt0407887","Dignam"
"nm0000242","tt0445990","Vince Papale"
"nm0000242","tt0822854","Bob Lee Swagger"
"nm0000242","tt0964517","Micky Ward"
"nm0000242","tt1091191","Marcus Luttrell"
"nm0000242","tt1860357","Mike Williams"
"nm0000242","tt4572514","Tommy Saunders"
"nm0000242","tt7401588","Pete"
"nm0000243","tt0139654","Alonzo"
"nm0000243","tt0210945","Coach Herman Boone"
"nm0000243","tt0251160","John Quincy Archibald"
"nm0000243","tt0328107","John W. Creasy"
"nm0000243","tt0427309","Melvin B. Tolson"
"nm0000243","tt0453467","Doug Carlin"
"nm0000243","tt0454848","Detective Keith Frazier"
"nm0000243","tt0455944","Robert McCall"
"nm0000243","tt0765429","Frank Lucas"
"nm0000243","tt1907668","Whip Whitaker"
"nm0000243","tt2671706","Troy Maxson"
"nm0000244","tt0311289","The Warden"
"nm0000244","tt0499549","Dr. Grace Augustine"
"nm0000244","tt1073510","Mary Griffith"
"nm0000244","tt3416532","Grandma"
"nm0000245","tt0278504","Walter Finch"
"nm0000246","tt0217869","David Dunn"
"nm0000246","tt0337978","John McClane"
"nm0000246","tt0401792","Hartigan"
"nm0000246","tt1245526","Frank Moses"
"nm0000246","tt1276104","Old Joe"
"nm0000246","tt1748122","Captain Sharp"
"nm0000249","tt1742683","Richard Fuld"
"nm0000250","tt0159365","Ruby Thewes"
"nm0000250","tt0299658","Roxie Hart"
"nm0000250","tt0352248","Mae Braddock"
"nm0000255","tt0473705","Stephen Collins"
"nm0000255","tt0840361","Doug MacRay"
"nm0000255","tt1024648","Tony Mendez"
"nm0000255","tt2140479","Christian Wolff"
"nm0000255","tt2267998","Nick Dunne"
"nm0000257","tt2726560","Ira Levinson"
"nm0000257","tt3682448","Thomas Watters Jr."
"nm0000260","tt0372183","Pamela Landy"
"nm0000260","tt0440963","Pam Landy"
"nm0000260","tt1028532","Cate Wilson"
"nm0000261","tt1708658","Claire Sanford"
"nm0000265","tt0405496","Self"
"nm0000267","tt0298148","Queen"
"nm0000267","tt1323594","Gru's Mom"
"nm0000271","tt1117385","Maggie"
"nm0000272","tt0401711","Fanny (segment ""Pigalle"")"
"nm0000273","tt1024648","Lester Siegel"
"nm0000279","tt0250798","Mordechai Anielewicz"
"nm0000285","tt0218505","Robert McNamara, Secretary of Defense"
"nm0000285","tt1078588","Campbell Alexander"
"nm0000285","tt1363109","Narrator"
"nm0000285","tt1446192","North"
"nm0000285","tt2334873","Hal"
"nm0000285","tt3316960","Dr. John Howland"
"nm0000285","tt3322364","Dr. Julian Bailes"
"nm0000288","tt0144084","Patrick Bateman"
"nm0000288","tt0238380","John Preston"
"nm0000288","tt0361862","Trevor Reznik"
"nm0000288","tt0372784","Batman"
"nm0000288","tt0372784","Bruce Wayne"
"nm0000288","tt0381849","Dan Evans"
"nm0000288","tt0462504","Dieter Dengler"
"nm0000288","tt0468569","Bruce Wayne"
"nm0000288","tt0482571","Alfred Borden"
"nm0000288","tt0964517","Dicky Eklund"
"nm0000288","tt1152836","Melvin Purvis"
"nm0000288","tt1345836","Bruce Wayne"
"nm0000288","tt1596363","Michael Burry"
"nm0000288","tt1800241","Irving Rosenfeld"
"nm0000288","tt1950186","Ken Miles"
"nm0000288","tt6266538","Dick Cheney"
"nm0000293","tt0120737","Boromir"
"nm0000293","tt0238380","Partridge"
"nm0000295","tt0320691","Selene"
"nm0000295","tt0338751","Ava Gardner"
"nm0000295","tt0780511","Amy"
"nm0000297","tt0139654","Stan Gursky"
"nm0000300","tt0241303","Vianne Rocher"
"nm0000300","tt0387898","Anne Laurent"
"nm0000300","tt0401711","Suzanne (segment ""Place des Victoires"")"
"nm0000301","tt0162346","Enid"
"nm0000301","tt0338109","Liz Murray"
"nm0000302","tt0405496","Self"
"nm0000307","tt0121164","Corpse Bride"
"nm0000307","tt0312004","Lady Campanula Tottington"
"nm0000307","tt0319758","Ingrid Formanek"
"nm0000307","tt0408236","Mrs. Lovett"
"nm0000307","tt1504320","Queen Elizabeth"
"nm0000308","tt0950740","Bert O'Riley"
"nm0000313","tt0272152","Dr. Mark Powell"
"nm0000313","tt0329575","Charles Howard"
"nm0000313","tt0371746","Obadiah Stane"
"nm0000313","tt1263670","Bad Blake"
"nm0000313","tt1403865","Rooster Cogburn"
